1.0;Cloud Computing;is;possible
1.0;you;Are;sure
1.0;HP;was;When founded
1.0;HP;was;founded
0.10199368314675994;you;do expect from;operating system made by students
0.5317893606213169;operating system;made by;students
0.10199368314675994;you;do expect from;operating system made by graduate students
0.10199368314675994;you;do expect from;operating system
0.5317893606213169;operating system;made by;graduate students
0.10199368314675994;you;do expect from;operating system made
0.19132517912564495;you;do know about;calculations
1.0;he;can push;weight
1.0;it;does take;many buckets
1.0;it;does take;How many buckets
1.0;buckets;fill;sea
1.0;many buckets;fill;sea
1.0;it;does take;buckets
1.0;I;Do really need;ten questions
1.0;I;Do need;ten questions
